"","Heading","Text","Rating","Time"
"103","What iPhone 11 128 GB","Just upgraded from 6S lol Wow! loving my iPhone 11 great new features and plenty of space for apps.",5,2019-12-28 00:21:00
"104","Does what I need it to","Only bought it because my phone died and I was forced into a new phone. Surprisingly cheaper than the older models...not sure why. 
I primarily use internet, text and talk on my phone. Does what I need it to.",5,2019-10-11 16:07:00
"105","Love it","I upgraded my daughters phone to this and she loves it. She hasn’t had any problems since she switched!",5,2019-12-22 21:22:00
"106","Works great","Have had no problems. Previous phone was the iPhone 6 Plus so getting used to an iPhone without the home button was surprisingly very quick and easy.",5,2019-11-19 17:08:00
"107","Made the switch","Went from Android to IPhone and so far it’s been great. Definitely an adjustment, but am happy for now!",5,2019-12-20 17:37:00
"108","Great phone first my daughter","Overall the phone has met all expectation a as usual..great feel and picture taking",5,2020-01-03 16:14:00
"109","Great Phone","Apple doesn't disappoint.
Bought this phone for wife & she loves it.",5,2020-01-13 22:22:00
"110","Great phone","This phone take great pictures. Upgraded from an iPhone 6 and this is very fast. The only thing I don’t like about it is the size... but this is the smallest new iPhone they offer now",5,2019-10-22 10:05:00
"111","Love it","I’m sos so happy with my iPhone 11 
This made my life easier 
I was worry about the bottom but not is better wothout",5,2019-12-09 18:39:00
"112","iPhone 11","This is the best so far of all the apple phones I have owned. Easy functionality",5,2020-01-03 16:07:00
"113","Apple - iPhone 11 case ==  Great Purchase","Great purchase at a good price.  Just what I was looking for.",5,2020-01-17 11:51:00
"114","we love our phones","we love our phones. reps were knowledgeable and patient. Apple is surely the way to go",5,2019-12-29 23:47:00
"115","Nice gift","Iphone as a christmas gift? Its the gift that keeps on giving",5,2020-01-15 21:55:00
"116","Neat","I have purchased two of these phones. One white and another red. Had a great great experience with easy navigation",5,2019-12-07 13:24:00
"117","Great Phone","Bought this phone as a Christmas gift for my daughter, She loves it",5,2020-01-10 16:16:00
"118","Great","Needed to upgrade and the IPhone 11 was available in the release date! Best part was my bill actually went down!",5,2019-09-27 17:27:00
"119","Perfect","Just as I imagined it and exactly how they advertised it, worth the purchase and amazing offer",5,2019-12-20 17:24:00
"120","Great cell","My experience is positive with this product I recommend it to my friends",5,2020-01-04 14:54:00
"121","Love it!","This is a gift for my daughter for Christmas.  She is overall very happy with it.",5,2019-12-28 12:20:00
"122","First Apple product","Good so far.  First Apple product.  Not as easy to navigate as previous phones.  Changed because immediate family members have the Iphone XR, Xs Max and 11 Pro Max",4,2020-01-15 22:17:00
"123","Iphone 11","I bought it as a gift for my son and he loves it..",5,2020-01-19 20:13:00
"124","Excellent choice","Had to get used to no longer having a “Home” button but I still Love it!! Awesome sauce!!!",5,2019-12-20 16:19:00
"125","Love my new phone!","Adjusting to a few differences but all is good.love this phone",5,2020-01-10 16:06:00
"126","great looking case","the case fits really well and the quality is excellent.",5,2020-01-15 19:03:00
"127","Great phone","Not much different than the XR that I had but I like it",5,2020-01-15 18:13:00
"128","I love this phone","The phone es so good i Luke love the  olor thank you do lunch ima but anoche ome",5,2019-12-27 19:06:00
"129","Great buy!","Takes great pictures. Met all expectations. Will definitely recommend to others.",5,2019-12-27 16:47:00
"130","Great phone","New phone so much better than my sons last.  My son loves it.",5,2020-01-10 17:35:00
"131","Great Phone!","My daughter is Apple everything, and I decided to get my first iPhone and it’s like android but better for using with iPhone users. Thumbs Up!",5,2019-11-09 15:45:00
"132","iPhone 11","I like the iPhones and it was a good deal.  Thanks.",5,2020-01-17 17:11:00
"133","Purple iPhone 11","My daughter loves this phone (she upgraded from an 8 series).",5,2020-01-09 17:38:00
"134","Great phone","My daughter loved this phone and I was very happy with the quality.",5,2020-01-03 15:21:00
"135","Needed this","I had an iPhone 6. It was starting to fail. The 11 is a good solution",5,2020-01-01 22:11:00
"136","A Hit","The phone was a Christmas present for my son. He loves it and is happy he made the switch from his android. The only downside for him is the speed of charging it, his android charged faster.",4,2019-12-28 08:21:00
"137","Great phone!","This phone has been great.  It's much faster than my previous phone and the camera is great.",5,2019-12-14 10:59:00
"138","Great upgrade","iPhone 11 is yet again another great apple phone release",5,2020-01-10 19:12:00
"139","Kid loves it","We bought this phone for my daughter for Christmas and she loves it.",5,2020-01-01 10:45:00
"140","Cool yellow iPhone","I loved this phone especially my talking memoji stickers.",5,2020-01-09 17:36:00
"141","Upgraded from an 8","Oh dear..... trying to figure out all this new technology. It’s so nice and easy. I love all the new features. The Face ID is soo much better than the thumb Id. Soooo happy.",5,2019-10-11 17:19:00
"142","So Far, So Good","Purchased this as a present for my 13 year old.  He really likes the phone.  As a Samsung user, I think it is ridiculous starts it 2019 iPhone product line as a 64 GB example.",4,2020-01-03 16:11:00
"143","It's certainly is a phone","Had trouble with the iPhone to iPhone transfer, but the phone seems cool so far.",5,2019-12-21 20:44:00
"144","Awesome phone!","Love everything about the phone 11. Also purchased it at a great price!!",5,2019-12-27 20:24:00
"145","Value Purchase","We are happy with the iPhone product purchase that was made affordable to us by Best Buy.",5,2019-12-14 00:07:00
"146","iPhone 11 review","Excellent value. Very snappy response wit the new A13 Bionic chip. Unbelievable camera results vs. my previous iPhone X. Great form factor at 6.1"" inch display.",5,2019-10-18 20:30:00
"147","Nice phone","Must have you want to stand out and get a phone that’s worth it.",5,2020-01-01 15:37:00
"148","Good phone","Nice phone the camera has definitely made a difference super sharp pics now almost a replacement for a real camera.",5,2019-11-22 15:12:00
"149","Best phone as of yet!","My first apple phone ever and had no idea of the simplicity of use. Great phone and very pleased with my purchase. Love it!",5,2019-11-15 18:41:00
"150","Loving this phone","Loving this phone & how much of an update it is from my iPhone 7 Plus that I had prior.",5,2019-12-13 15:24:00
"151","Great","Grest phone had not other phone like it i would definitly recomend it to my friends and family",5,2019-09-27 15:18:00
"152","Has been a great phone for my son!","My son absolutely loves this phone. It's his first iPhone.",5,2020-01-04 20:12:00
"153","Great phone for people who like iphones","They have had iphones for years, and love this one.",5,2020-01-09 13:31:00
"154","Love the color","Bought the phone and was not disappointed. Lives up to the hype. The color is so pretty and was so pleasantly surprised with the battery life",5,2019-10-30 06:30:00
"155","Love my iPhone 11","Love my iPhone 11 it's a great phone and had very cool new features",5,2019-12-27 20:53:00
"156","Great phone","Bought an upgrade for my son. He loves it. Maybe a little too much.",5,2019-12-27 17:10:00
"157","Great  phone","Great purchase  and price with all the bells and whistles.",5,2020-01-03 15:15:00
"158","Awesome!!!","Great phone.  Upgraded from the iPhone 6 and couldn't be happier.  Love the size and speed!!!",5,2019-12-06 21:47:00
"159","Great phone","Best phone all around at the moment. Happy for my purchase, and deal from Best Buy.",5,2019-12-13 21:49:00
"160","Great phone","bought it for my kids we are an iPhone family so I am sure we won’t be disappointed",5,2019-12-13 21:00:00
"161","Nice color","Large phone but still fits in most purses.  This is a better deal than the Pro or Pro Max unless you are really into taking a lot of pictures.",5,2019-10-27 17:50:00
"162","Beautiful phone","Love my new Hot Red phone that moves at super fast speed.",5,2019-11-01 19:16:00
"163","Love red","The red really pops and shows on this phone. Super cute color. Wish the other colors were brighter or darker and not as pastel colored.",5,2019-11-01 15:43:00
"164","Great Value!","This is huge upgrade from a few years ago and at a price point that is very reasonable.",5,2019-09-28 19:31:00
"165","iPhone 11 is amazing!","The iPhone 11 has all the bells and whistles you need!  With face recognition, large storage, customizable icons, and more!!",5,2019-11-08 15:27:00
"166","Wife loves it first iphone and forever apple","Wife says that it is very compatible with her work programs..",5,2019-12-28 20:03:00
"167","Great phone","Great Phone! Changed from a Galaxy to an iPhone for first time",5,2019-12-27 19:53:00
"168","happy with the phone","set up was great and the people in Concord were great",5,2020-01-03 16:24:00
